Realm_Name,Ecoregion_Name,Country_Name,Distance_to_Shore,Exposure,Cyclone_Frequency,Date_Day,Date_Month,Date_Year,Depth_m,Substrate_Name,Percent_Cover,Bleaching_Level,Percent_Bleaching,ClimSST,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_DHW,SSTA_DHW_Standard_Deviation,TSA,TSA_Standard_Deviation,Date,Site_Comments,Sample_Comments,Bleaching_Comments
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,53198.14,Exposed,50.4,30,10,2016,4,Hard Coral,23.75,Population,1.5,301.47,-0.2,0.87,0,6.41,3.28,-2.64,1.9,2016-10-30,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,53198.14,Exposed,50.4,30,10,2016,4,Nutrient Indicator Algae,0,Population,1.5,301.47,-0.2,0.87,0,6.41,3.28,-2.64,1.9,2016-10-30,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,1345.62,Sheltered,51.57,29,10,2017,5,Hard Coral,60.62,Population,1.75,299.15,0.94,0.73,0,11.26,2.55,-2.62,2.29,2017-10-29,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,1345.62,Sheltered,51.57,29,10,2017,5,Nutrient Indicator Algae,0,Population,1.75,299.15,0.94,0.73,0,11.26,2.55,-2.62,2.29,2017-10-29,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,742.91,Sheltered,63.92,2,8,2015,4,Hard Coral,11.88,Population,2,297.64,0.3,0.88,0,2.3,2.98,-6.07,2.44,2015-08-02,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,742.91,Sheltered,63.92,2,8,2015,4,Nutrient Indicator Algae,0.62,Population,2,297.64,0.3,0.88,0,2.3,2.98,-6.07,2.44,2015-08-02,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,1739.41,Exposed,51.57,19,9,2016,7,Hard Coral,61.25,Population,2,297.05,0.38,0.72,0,0,2.65,-4.9,2.22,2016-09-19,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,1739.41,Exposed,51.57,19,9,2016,7,Nutrient Indicator Algae,0.62,Population,2,297.05,0.38,0.72,0,0,2.65,-4.9,2.22,2016-09-19,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,123.51,Sometimes,43.39,9,6,2017,4,Hard Coral,21.88,Population,2,294.89,-0.78,0.98,0,3.84,3.32,-7.16,2.88,2017-06-09,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,123.51,Sometimes,43.39,9,6,2017,4,Nutrient Indicator Algae,21.88,Population,2,294.89,-0.78,0.98,0,3.84,3.32,-7.16,2.88,2017-06-09,nd,nd,nd
